,Number of selected features,Selected F1 Score
Euclidean,10.0,0.9302714236786008
Braycurtis,16.0,0.9362672965175497
Canberra,8.0,0.9487374301200038
Cityblock,9.0,0.9465383480632009
Chebyshev,8.0,0.8950012245945081
Clark,9.0,0.915988952942822
Correlation,9.0,0.8645208107202428
Cosine,10.0,0.8713343983994779
Hellinger,9.0,0.9343269499297593
Jaccard,3.0,0.8920848232197701
Lorentzian,11.0,0.9423591720251213
Marylandbridge,12.0,0.7180113804885819
Meehl,8.0,0.9383094890703798
Motyka,16.0,0.9362672965175497
Soergel,16.0,0.9362672965175497
Wave_Hedges,21.0,0.9544880829711716
Kulczynski,16.0,0.9362672965175497
Add_Chisq,5.0,0.9292911910448339
